58894,Atención a Grupos Vulnerables,u99b726d7aaaa4bf4f08265c088dd4d7ff3e2fd98b5ab8a503a9d37386c6d2d57-1-1,1
58895,Puntos Constitucionales,u99b726d7aaaa4bf4f08265c088dd4d7ff3e2fd98b5ab8a503a9d37386c6d2d57-1-2,1
58937,Puntos Constitucionales,ub15db41eb7d29b321da399dd6e9ab0e2f9a2877bf9427a6e1f3886880ea2959-1-1,1
58985,Trabajo y Previsión Social,ue77aa44456bbecfb5dbd52dc2e3c44743eb431867923e318fa7b1fedba920c1-1-1,1
59025,Ciencia y Tecnología,ue77aa44456bbecfb5dbd52dc2e3c44743eb431867923e318fa7b1fedba920c1-2-1,2
59038,Hacienda y Crédito Público,ue77aa44456bbecfb5dbd52dc2e3c44743eb431867923e318fa7b1fedba920c1-3-1,1
59039,Salud,ue77aa44456bbecfb5dbd52dc2e3c44743eb431867923e318fa7b1fedba920c1-3-2,1
59040,Educación Pública y Servicios Educativos,ue77aa44456bbecfb5dbd52dc2e3c44743eb431867923e318fa7b1fedba920c1-3-2,1
59041,Puntos Constitucionales,ue77aa44456bbecfb5dbd52dc2e3c44743eb431867923e318fa7b1fedba920c1-3-3,1
59042,Hacienda y Crédito Público,ue77aa44456bbecfb5dbd52dc2e3c44743eb431867923e318fa7b1fedba920c1-3-3,1
59043,Gobernación,ue77aa44456bbecfb5dbd52dc2e3c44743eb431867923e318fa7b1fedba920c1-3-3,1
59084,Hacienda y Crédito Público,u83164cf84cd23a3adabe8aab6dd608f60af4efb869d14a5f0cd1f331c4074f8-1-1,1
59085,Hacienda y Crédito Público,u83164cf84cd23a3adabe8aab6dd608f60af4efb869d14a5f0cd1f331c4074f8-1-2,1
59086,Hacienda y Crédito Público,u83164cf84cd23a3adabe8aab6dd608f60af4efb869d14a5f0cd1f331c4074f8-1-3,1
59087,Hacienda y Crédito Público,u83164cf84cd23a3adabe8aab6dd608f60af4efb869d14a5f0cd1f331c4074f8-1-4,1
59088,Medio Ambiente y Recursos Naturales,u83164cf84cd23a3adabe8aab6dd608f60af4efb869d14a5f0cd1f331c4074f8-1-5,2
59089,Turismo,u83164cf84cd23a3adabe8aab6dd608f60af4efb869d14a5f0cd1f331c4074f8-1-5,2
59090,"Radio, Televisión y Cinematografía",u83164cf84cd23a3adabe8aab6dd608f60af4efb869d14a5f0cd1f331c4074f8-1-6,1
59091,Gobernación,u83164cf84cd23a3adabe8aab6dd608f60af4efb869d14a5f0cd1f331c4074f8-1-6,1
59093,Puntos Constitucionales,u83164cf84cd23a3adabe8aab6dd608f60af4efb869d14a5f0cd1f331c4074f8-1-7,1
59094,Hacienda y Crédito Público,u83164cf84cd23a3adabe8aab6dd608f60af4efb869d14a5f0cd1f331c4074f8-1-8,1
59099,Puntos Constitucionales,u83164cf84cd23a3adabe8aab6dd608f60af4efb869d14a5f0cd1f331c4074f8-1-9,1
59101,Seguridad Pública,u83164cf84cd23a3adabe8aab6dd608f60af4efb869d14a5f0cd1f331c4074f8-1-10,2
59102,Presupuesto y Cuenta Pública,u83164cf84cd23a3adabe8aab6dd608f60af4efb869d14a5f0cd1f331c4074f8-1-10,2
